Description,Duration,Time
start,0.0,1738259079.0903082
about to load translation,0.00124359130859375,1738259079.0915518
loaded translation,0.3215963840484619,1738259079.4131482
managed session state,0.00037741661071777344,1738259079.4135256
Finding unique_books,0.0015940666198730469,1738259079.4151196
Finding all references,0.0001976490020751953,1738259079.4153173
chapter tab: Starting browse tab,0.00040435791015625,1738259079.4157217
chapter tab: got selected chapter,0.002379894256591797,1738259079.4181015
chapter tab: Found items in current chapter,0.035037994384765625,1738259079.4531395
chapter tab: Made prev next buttons in chapter,0.0017092227935791016,1738259079.4548488
chapter tab: Added the switch button macros,0.010247945785522461,1738259079.4650967
verse tab: Starting browse tab,0.00043392181396484375,1738259079.4655306
verse tab: Ran verse selectors,0.003330230712890625,1738259079.4688609
verse tab: Looked up active verse,0.0005564689636230469,1738259079.4694173
verse tab: wrote verse header,0.001157522201538086,1738259079.4705749
verse tab: showed verse to be edited,0.0009665489196777344,1738259079.4715414
verse tab: about to show suggested corrections,0.0008106231689453125,1738259079.472352
verse tab: showed suggested corrections,0.004625558853149414,1738259079.4769776
verse tab: wrote next and previous buttons,0.0015788078308105469,1738259079.4785564
verse tab: history tab: started,0.001361846923828125,1738259079.4799182
verse tab: history tab: showed history,0.0009379386901855469,1738259079.4808562
verse tab: comments tab: started,0.0007042884826660156,1738259079.4815605
verse tab: comments tab: showed comments,0.0012087821960449219,1738259079.4827693
verse tab: comments tab: wrote add comment button,0.0007748603820800781,1738259079.483544
verse tab: sorted by grade tab: started,0.00033020973205566406,1738259079.4838743
verse tab: sorted by grade tab: sorted by grade,0.00744175910949707,1738259079.491316
verse tab: sorted by grade tab: showed chart,0.07762622833251953,1738259079.5689423
verse tab: sorted by grade tab: slider,0.0009324550628662109,1738259079.5698748
verse tab: sorted by grade tab: showed verses,0.025144338607788086,1738259079.595019
verse tab: sorted by grade tab: add_button_tab_switch,0.0042226314544677734,1738259079.5992417
add comments tab: started,0.00025653839111328125,1738259079.5994983
add comments tab: wrote long text,0.006430864334106445,1738259079.6059291
add comments tab: selected scope,0.0017743110656738281,1738259079.6077034
add comments tab: wrote selection,0.0018782615661621094,1738259079.6095817
add comments tab: made add comment,0.002866029739379883,1738259079.6124477
